timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:46:57.945, 81, 76.05 W, 71 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000000
2026/05/01 20:46:58.456, 82, 64.78 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:58.959, 83, 77.13 W, 76 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:59.463, 82, 78.33 W, 80 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:46:59.965, 82, 78.76 W, 79 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:47:00.480, 83, 77.65 W, 75 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:47:00.984, 83, 78.16 W, 76 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:47:01.499, 83, 79.00 W, 82 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:47:02.005, 84, 80.45 W, 80 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:47:02.505, 84, 92.34 W, 85 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:47:03.005, 83, 76.76 W, 79 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000000
2026/05/01 20:47:03.515, 81, 86.34 W, 92 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:47:04.025, 85, 88.62 W, 87 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:47:04.535, 84, 87.02 W, 84 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:47:05.040, 84, 77.43 W, 49 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:47:05.542, 82, 78.22 W, 72 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:47:06.045, 85, 91.76 W, 95 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:47:06.547, 84, 87.45 W, 95 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
